token,score
melt,16.666144133806412
woe,16.656887580167176
settl,16.593235094541264
scatter,16.58829856358132
transgressor,16.583410856144685
eighti,16.507046005299507
tell,16.486139716730694
genealog,16.472713523670723
agre,16.462257848696947
begotten,16.462257848696947
bar,16.4515806836792
invit,16.449697669335883
hade,16.355417246744736
sect,16.355417246744736
trustworthi,16.355417246744736
legend,16.355417246744736
agrippa,16.355417246744736
oblig,16.355417246744736
indulg,16.355417246744736
ibli,16.355417246744736
challeng,16.355417246744736
rent,16.355417246744736
roman,16.355417246744736
reclin,16.355417246744736
achaia,16.355417246744736
supper,16.355417246744736
zakat,16.355417246744736
chariti,16.355417246744736
rejoic,16.317673322089703
noah,16.30819227495165
commend,16.307815626035126
uriah,16.30254909480633
pot,16.30254909480633
tree,16.214289890042362
pharaoh,16.182486451099415
baruch,16.141440846001323
baasha,16.141440846001323
phineha,16.141440846001323
jeshua,16.141440846001323
glean,16.141440846001323
midianit,16.141440846001323
squar,16.141440846001323
ramoth,16.141440846001323
amalekit,16.141440846001323
persia,16.141440846001323
excus,16.139374513555918
boldli,16.139374513555918
prophesi,16.123758221468638
board,16.07533932344901
lament,16.07533932344901
ceas,16.072158691099403
teach,16.029575729541346
pastur,16.0084126766262
thick,16.0084126766262
commit,15.98772152089921
neck,15.97814266421491
supplic,15.94061888280831
amen,15.92613706461389
stood,15.8744270611542
contend,15.861110966733175
bath,15.861110966733175
heritag,15.861110966733175
search,15.85449554383749
reliev,15.841015513013655
bird,15.805889711742307
abiathar,15.635111493236803
scribe,15.5832644695767
dust,15.573573260086537
belov,15.541478499571507
slave,15.539727163056877
free,15.47866085691308
maid,15.468880810751266
seer,15.468880810751266
vestibul,15.468880810751266
do,15.468880810751266
regular,15.468880810751266
lachish,15.468880810751266
hivit,15.468880810751266
zeruiah,15.468880810751266
engrav,15.468880810751266
plant,15.376902511630053
faint,15.35160800557535
red,15.331723380444846
overcom,15.330820709793835
immor,15.330820709793835
street,15.326359680413493
cloud,15.312657284674277
persist,15.299379228021092
dowri,15.299379228021092
trespass,15.23965493225659
jess,15.185687587437956
abil,15.148710741547788
vessel,15.009797022578105
jephthah,14.96805333119917
loud,14.931485989373018
marriag,14.890023426228755
spent,14.890023426228755
offens,14.890023426228755
insan,14.88212739723279
sprinkl,14.881023094074266
hypocrisi,14.868561133404308
suppress,14.868561133404308
zebede,14.868561133404308
asund,14.868561133404308
lake,14.868561133404308
entrust,14.868561133404308
adopt,14.868561133404308
obstacl,14.868561133404308
address,14.868561133404308
iscariot,14.868561133404308
thoma,14.868561133404308
immort,14.868561133404308
edif,14.868561133404308
devout,14.868561133404308
barabba,14.868561133404308
unbelief,14.868561133404308
real,14.868561133404308
successor,14.868561133404308
conjectur,14.868561133404308
corneliu,14.868561133404308
contract,14.868561133404308
apollo,14.868561133404308
sila,14.868561133404308
anania,14.868561133404308
malic,14.868561133404308
deviat,14.868561133404308
edifi,14.868561133404308
adonijah,14.796320775501211
abishai,14.796320775501211
maaseiah,14.796320775501211
panel,14.796320775501211
gershon,14.796320775501211
jehoram,14.796320775501211
johanan,14.796320775501211
jabesh,14.796320775501211
dariu,14.796320775501211
valuat,14.796320775501211
nebat,14.796320775501211
arnon,14.796320775501211
rose,14.787826049638504
rais,14.777339730537236
troop,14.695819809634129
capit,14.695819809634129
friendship,14.675372335097855
idolat,14.675372335097855
deceas,14.675372335097855
reconcil,14.675372335097855
matur,14.675372335097855
absent,14.675372335097855
grape,14.612746365920701
scarlet,14.612746365920701
awak,14.612746365920701
explain,14.577449011172149
conduct,14.57517717712209
low,14.57380517474629
unleaven,14.486959737831556
youth,14.480262525069055
ruin,14.393676442941576
music,14.301418390177878
unfaith,14.301418390177878
machir,14.123760740251157
shemesh,14.123760740251157
hin,14.123760740251157
achish,14.123760740251157
en,14.123760740251157
og,14.123760740251157
amalek,14.123760740251157
section,14.123760740251157
watchman,14.123760740251157
sisera,14.123760740251157
ahijah,14.123760740251157
jehoahaz,14.123760740251157
carmel,14.123760740251157
cyru,14.123760740251157
roar,14.122236445224859
woman,14.117082109826649
offic,14.101250789464604
counten,14.041149736313496
eli,14.041149736313496
fortress,14.041149736313496
scale,13.997764073591334
swear,13.944131196144683
row,13.932702908687258
sarah,13.928134172697645
spi,13.928134172697645
vengeanc,13.907412502549981
sin,13.89280852181215
come,13.875198041425577
feast,13.742912231686521
doom,13.70605997004915
innoc,13.699017382342412
foot,13.657002162349146
bribe,13.635257456694886
defect,13.635257456694886
district,13.635257456694886
drive,13.593013367492194
worri,13.46459488636887
meshullam,13.4512007050011
terebinth,13.4512007050011
beam,13.4512007050011
micaiah,13.4512007050011
twilight,13.4512007050011
doorpost,13.4512007050011
bald,13.4512007050011
perizzit,13.4512007050011
naboth,13.4512007050011
conspir,13.4512007050011
hadadez,13.4512007050011
nabal,13.4512007050011
laver,13.4512007050011
salvat,13.44828927599355
triumph,13.44775216624773
finish,13.425559836090518
joram,13.387713453470752
persever,13.381705020063878
appreci,13.381705020063878
mansion,13.381705020063878
elizabeth,13.381705020063878
incorrupt,13.381705020063878
zacharia,13.381705020063878
visibl,13.381705020063878
peril,13.381705020063878
surnam,13.381705020063878
munific,13.381705020063878
brass,13.381705020063878
ra,13.381705020063878
caiapha,13.381705020063878
annoy,13.381705020063878
vine,13.32261125924519
strang,13.318688727395898
inclin,13.302907464885317
pervers,13.302907464885317
prey,13.293507174094346
pomegran,13.293507174094346
wild,13.27969925371907
magician,13.262040889030537
intercessor,13.215179145786848
wed,13.215179145786848
drag,13.215179145786848
partner,13.215179145786848
worst,13.215179145786848
blasphemi,13.169806278957559
creator,13.169806278957559
learn,13.107045989482096
permit,13.049562494385107
walk,13.041871835006397
wound,13.01997163547718
abraham,12.964470864473405
earli,12.94228738642521
plain,12.94228738642521
creep,12.925079795030342
trumpet,12.897805402346865
contrari,12.877699520867592
wors,12.877699520867592
bowl,12.789667989821947
hanan,12.778640669751045
nethaniah,12.778640669751045
